,project_name,num_commits,project_age_days,num_issues,num_pull,num_stargazers,num_watchers,num_forks,num_subscribers,num_contributors,project_size(kB),ssf_score,ssf0_Binary-Artifacts,ssf1_Branch-Protection,ssf3_CII-Best-Practices,ssf7_Dependency-Update-Tool,ssf8_Fuzzing,ssf9_License,ssf10_Maintained,ssf13_SAST,ssf17_Vulnerabilities,Generic policy,Reporting mechanism,Scope of practice,User guideline
229,delgan/loguru,0.004820836272275236,0.4272174535050071,0.008784941745755144,0.00214231887178383,0.10650029798177747,0.10650029798177747,0.009381014549320988,0.018721160184574818,0.10020876826722337,0.00034375548425690346,6.3,10,3,0,10,0,10,10,10,10,1,1,1,0
230,apache/dolphinscheduler,0.049619054836283934,0.3265379113018598,0.11427625041404439,0.08866401119603833,0.068814998953037,0.068814998953037,0.06201967725003028,0.04311140408701384,0.755741127348643,0.03990458400405401,6.8,9,8,0,10,0,10,10,10,0,1,1,0,0
231,includesecurity/safeurl-python,0.0,0.49177396280400565,3.60038596137506e-05,3.229626439875121e-05,5.905945139138698e-05,5.905945139138698e-05,5.383652539065129e-05,0.0,0.006263048016701461,0.0,3.8,10,0,0,0,0,10,0,0,10,1,1,0,0
232,plone/products.atcontenttypes,0.01215410354013769,0.802038626609442,0.0004896524907470082,0.0006459252879750242,1.073808207116127e-05,1.073808207116127e-05,0.0001211321821289654,0.021226104152933422,0.14822546972860123,0.0012434408904221006,3.6,10,3,0,0,0,0,0,0,10,0,1,0,0
233,datadog/guarddog,0.005252204935090675,0.11176680972818312,0.0034275674352290566,0.0035633545053288833,0.003232162703419542,0.003232162703419542,0.0005922017792971642,0.0023731048121292024,0.04592901878914405,0.0017587451641909418,7.6,10,5,0,10,0,10,10,0,10,1,1,1,0
234,azure/azure-cli,0.07112336560825896,0.5271816881258942,0.21477742413986778,0.13651630961352137,0.021519116470607183,0.021519116470607183,0.040135129678730536,0.023335530652603822,0.8517745302713987,0.10772260675869336,4.8,0,1,0,10,0,10,10,0,4,1,1,0,1
235,geopython/owslib,0.013384087159787113,0.792203147353362,0.006862335642380864,0.006007105178167725,0.0020831879218052864,0.0020831879218052864,0.0037012611206072763,0.0035596572181938032,0.24425887265135696,0.000891955019677123,4.8,10,0,0,0,0,10,10,0,9,1,1,1,0
236,python-mechanize/mechanize,0.006266504223332381,0.45582975679542204,0.0007128764203522619,0.00023683927225750888,0.003897923791831541,0.003897923791831541,0.0014535861855475849,0.002900461437046803,0.031315240083507306,0.0003133273672293785,3.2,10,0,0,0,0,10,0,0,10,1,1,1,0
237,py-pdf/pypdf2,0.010189627332451165,0.7934549356223176,0.01876521163068681,0.015588330283130584,0.04434290991286046,0.04434290991286046,0.018829324755380288,0.019380355965721817,0.4613778705636743,0.003341665154855267,7.5,10,6,0,10,10,9,10,0,10,1,1,1,0
238,rucio/rucio,0.07691769602499607,0.41219599427753933,0.0512334922303671,0.04766928625255678,0.0013207840947528362,0.0013207840947528362,0.004212708111818463,0.002900461437046803,0.2609603340292275,0.009828610752507072,7.0,10,6,0,10,0,10,10,0,10,1,1,1,0
239,geopython/pywps,0.012923571965700362,0.7626967095851216,0.0049757333986203325,0.00427387232210141,0.0009449512222621917,0.0009449512222621917,0.0015747183676765504,0.002768622280817403,0.08977035490605427,0.0023891828537396073,4.8,10,6,0,0,0,10,0,0,10,1,1,1,0
240,facebookresearch/parlai,0.025293359837245767,0.44742489270386265,0.03560061638607659,0.03660243298525137,0.05628365717599179,0.05628365717599179,0.028196880173353613,0.037310481212920237,0.3987473903966597,0.02454841795995758,5.1,10,6,0,10,0,10,0,0,0,0,1,0,0
241,deepset-ai/haystack,0.021539286609500604,0.2804005722460658,0.05475466970059191,0.043632253202712884,0.09346426634738769,0.09346426634738769,0.025531972166516374,0.01858932102834542,0.5281837160751566,0.007264754059398645,6.1,10,8,0,10,0,10,10,0,10,1,1,0,0
